Freq[Hz]     dBSPL  Phase[Deg]
25068.6      0.007    -1.003
25433.2      0.006    -0.978
25803.2      0.006    -0.954
26178.5      0.006    -0.930
26559.3      0.005    -0.906
26945.6      0.005    -0.883
27337.5      0.005    -0.859
27735.2      0.004    -0.836
28138.6      0.004    -0.813
28547.9      0.004    -0.789
28963.1      0.003    -0.766
29384.4      0.003    -0.743
29811.8      0.003    -0.721
30245.4      0.003    -0.698
30685.3      0.002    -0.675
31131.7      0.002    -0.653
31584.5      0.002    -0.630
32043.9      0.002    -0.608
32510.0      0.002    -0.585
32982.8      0.001    -0.563
33462.6      0.001    -0.540
33949.3      0.001    -0.518
34443.1      0.001    -0.496
34944.1      0.001    -0.473
35452.4      0.000    -0.451
35968.0      0.000    -0.429
36491.2      0.000    -0.406
37022.0      0.000    -0.384
37560.5      0.000    -0.362
38106.8      0.000    -0.339
38661.1      0.000    -0.316
39223.4      0.000    -0.294
39793.9     -0.001    -0.271
